image,type,color,analysis_date
17902b101e6b4b65425bedab59d52f0b.jpg,crew neck t-shirt,granite gray,2025-03-31 17:17:41.865178
17902b101e6b4b65425bedab59d52f0b.jpg,wide leg short,grayish-green,2025-03-31 17:17:41.865206
17902b101e6b4b65425bedab59d52f0b.jpg,dad sneaker,cream,2025-03-31 17:17:41.865211
3e00e993678a39bb81ff9b510d229e28.jpg,Dad cap,Black,2025-03-31 17:17:48.771421
3e00e993678a39bb81ff9b510d229e28.jpg,Cuban link watch,Gold,2025-03-31 17:17:48.771451
3e00e993678a39bb81ff9b510d229e28.jpg,Short-sleeve t-shirt,Black,2025-03-31 17:17:48.771455
3e00e993678a39bb81ff9b510d229e28.jpg,Joggers,Dark brown,2025-03-31 17:17:48.771459
3e00e993678a39bb81ff9b510d229e28.jpg,Sneakers,White and navy blue,2025-03-31 17:17:48.771463
5fa1b83d80df1a4870ef27a7bcc8567b.jpg,short_sleeve_polo_shirt,beige,2025-03-31 17:17:52.928952
551ab52234a71b830fe5e5b71c50428a.jpg,crew neck t-shirt,white,2025-03-31 17:17:58.978689
551ab52234a71b830fe5e5b71c50428a.jpg,oversized hoodie,slate green,2025-03-31 17:17:58.978727
551ab52234a71b830fe5e5b71c50428a.jpg,shorts,stone gray,2025-03-31 17:17:58.978735
551ab52234a71b830fe5e5b71c50428a.jpg,tennis socks,white,2025-03-31 17:17:58.978741
551ab52234a71b830fe5e5b71c50428a.jpg,casual shoes,white gray,2025-03-31 17:17:58.978747
aaad4eacb72fa6ad6278ab6dae15e35c.jpg,crew neck t-shirt,white,2025-03-31 17:18:02.340233
aaad4eacb72fa6ad6278ab6dae15e35c.jpg,corduroy shorts,denim blue,2025-03-31 17:18:02.340265
17902b101e6b4b65425bedab59d52f0b.jpg,crew neck t-shirt,granite gray,2025-03-31 17:17:41.865178
17902b101e6b4b65425bedab59d52f0b.jpg,wide leg short,grayish-green,2025-03-31 17:17:41.865206
17902b101e6b4b65425bedab59d52f0b.jpg,dad sneaker,cream,2025-03-31 17:17:41.865211
3e00e993678a39bb81ff9b510d229e28.jpg,Dad cap,Black,2025-03-31 17:17:48.771421
3e00e993678a39bb81ff9b510d229e28.jpg,Cuban link watch,Gold,2025-03-31 17:17:48.771451
